x_i	f(x_i)	derivative(x_i)
x=-1.910000	f(x)=0.110713	f'(x)=0.627512
x=-1.900000	f(x)=0.104516	f'(x)=0.611816
x=-1.890000	f(x)=0.098477	f'(x)=0.595877
x=-1.880000	f(x)=0.092599	f'(x)=0.579699
x=-1.870000	f(x)=0.086883	f'(x)=0.563289
x=-1.860000	f(x)=0.081333	f'(x)=0.546654
x=-1.850000	f(x)=0.075950	f'(x)=0.529801
x=-1.840000	f(x)=0.070737	f'(x)=0.512735
x=-1.830000	f(x)=0.065695	f'(x)=0.495463
x=-1.820000	f(x)=0.060827	f'(x)=0.477994
x=-1.810000	f(x)=0.056135	f'(x)=0.460335
x=-1.800000	f(x)=0.051621	f'(x)=0.442491
x=-1.790000	f(x)=0.047286	f'(x)=0.424469
x=-1.780000	f(x)=0.043131	f'(x)=0.406278
x=-1.770000	f(x)=0.039160	f'(x)=0.387925
x=-1.760000	f(x)=0.035373	f'(x)=0.369416
x=-1.750000	f(x)=0.031772	f'(x)=0.350759
x=-1.740000	f(x)=0.028358	f'(x)=0.331963
x=-1.730000	f(x)=0.025132	f'(x)=0.313033
x=-1.720000	f(x)=0.022097	f'(x)=0.293978
x=-1.710000	f(x)=0.019253	f'(x)=0.274806
x=-1.700000	f(x)=0.016601	f'(x)=0.255524
x=-1.690000	f(x)=0.014142	f'(x)=0.236139
x=-1.680000	f(x)=0.011878	f'(x)=0.216660
x=-1.670000	f(x)=0.009809	f'(x)=0.197095
x=-1.660000	f(x)=0.007936	f'(x)=0.177450
x=-1.650000	f(x)=0.006260	f'(x)=0.157735
x=-1.640000	f(x)=0.004782	f'(x)=0.137957
x=-1.630000	f(x)=0.003501	f'(x)=0.118123
x=-1.620000	f(x)=0.002419	f'(x)=0.098242
x=-1.610000	f(x)=0.001536	f'(x)=0.078322
x=-1.600000	f(x)=0.000853	f'(x)=0.058370
x=-1.590000	f(x)=0.000369	f'(x)=0.038395
x=-1.580000	f(x)=0.000085	f'(x)=0.018405
x=-1.570000	f(x)=0.000001	f'(x)=-0.001593
x=-1.560000	f(x)=0.000117	f'(x)=-0.021590
x=-1.550000	f(x)=0.000432	f'(x)=-0.041578
x=-1.540000	f(x)=0.000948	f'(x)=-0.061550
x=-1.530000	f(x)=0.001663	f'(x)=-0.081497
x=-1.520000	f(x)=0.002578	f'(x)=-0.101411
x=-1.510000	f(x)=0.003692	f'(x)=-0.121285
x=-1.500000	f(x)=0.005004	f'(x)=-0.141110
x=-1.490000	f(x)=0.006514	f'(x)=-0.160879
x=-1.480000	f(x)=0.008221	f'(x)=-0.180584
x=-1.470000	f(x)=0.010126	f'(x)=-0.200217
x=-1.460000	f(x)=0.012226	f'(x)=-0.219769
x=-1.450000	f(x)=0.014521	f'(x)=-0.239233
x=-1.440000	f(x)=0.017010	f'(x)=-0.258602
x=-1.430000	f(x)=0.019693	f'(x)=-0.277867
x=-1.420000	f(x)=0.022568	f'(x)=-0.297021
x=-1.410000	f(x)=0.025633	f'(x)=-0.316057
x=-1.400000	f(x)=0.028889	f'(x)=-0.334966
x=-1.390000	f(x)=0.032333	f'(x)=-0.353741
